"","","NG","AIC","BIC"
"1","hsmw.lag1",-0.045525,NA,NA
"2","hsbsou.lag1",0.084214,0.073094,NA
"3","hsmw.lag2",-0.020978,NA,NA
"4","D.a1m092.lag3",0.010282,4.3e-05,0.0093
"5","hsbne.lag4",0.009108,NA,NA
"6","D.a1m092.lag4",0.026368,0.009802,0.015923
"7","lhel.lag1",NA,0.028687,0.068357
"8","lhu680.lag1",NA,-0.037401,NA
"9","lhu680.lag2",NA,-0.015514,NA
"10","lhelx.lag1",NA,NA,0.008186
"11","hsbmw.lag1",NA,NA,-0.031227
