"","I1","","NG","AIC","BIC"
"1","BIC","lhu680.lag1",-0.023387,-0.023387,-0.023387
"2","BIC","hsbsou.lag1",0.061318,0.061318,0.061318
"3","ALL","fygt1.lag1",0.122741,0.122741,0.122741
"4","ALL","exruk.lag1",0.014715,0.014715,0.014715
"5","AIC, BIC","hsmw.lag2",-0.007409,-0.007409,-0.007409
"6","ALL","exruk.lag2",0.014643,0.014643,0.014643
"7","ALL","exruk.lag3",0.0011,0.0011,0.0011
"8","AIC, BIC","hsbne.lag4",0.014897,0.014897,0.014897
