"","Series","Conclusion","Type","Lags","Series","Conclusion","Type","Lags"
"96","sfygm6","I(0)","drift","4","sfygm6","I(0)","drift","3"
"97","sfygt1","I(0)","drift","4","sfygt1","I(0)","drift","3"
"98","sfygt5","I(0)","trend","9","sfygt5","I(0)","drift","3"
"99","sfygt10","I(0)","trend","16","sfygt10","I(0)","drift","11"
"100","sfyaaac","I(0)","trend","16","sfyaaac","I(0)","drift","15"
"101","sfybaac","I(0)","trend","16","sfybaac","I(0)","drift","12"
"102","exrus","I(1)","trend","2","exrus","I(0)","drift","1"
"103","exrsw","I(1)","trend","1","exrsw","I(0)","drift","1"
"104","exrjan","I(1)","trend","11","exrjan","I(0)","drift","7"
"105","exruk","I(1)","trend","3","exruk","I(0)","drift","2"
"106","exrcan","I(1)","trend","13","exrcan","I(0)","drift","12"
"107","pwfsa","I(1)","trend","11","pwfsa","I(1)","trend","10"
"108","pwfcsa","I(1)","trend","11","pwfcsa","I(1)","trend","10"
"109","pwimsa","I(1)","trend","3","pwimsa","I(0)","trend","2"
"110","pwcmsa","I(1)","trend","17","pwcmsa","I(0)","drift","16"
"111","psccom","I(1)","trend","16","psccom","I(0)","drift","15"
"112","pw102","I(1)","trend","1","pw102","I(0)","trend","1"
"113","pmcp","I(0)","trend","2","pmcp","I(0)","drift","15"
"114","punew","I(1)","trend","13","punew","I(1)","trend","12"
"115","pu83","I(1)","trend","7","pu83","I(0)","trend","18"
"116","pu84","I(1)","trend","16","pu84","I(0)","trend","15"
"117","pu85","I(1)","trend","6","pu85","I(0)","trend","5"
"118","puc","I(1)","trend","13","puc","I(0)","trend","12"
"119","pucd","I(1)","trend","12","pucd","I(0)","trend","11"
"120","pus","I(1)","trend","9","pus","I(0)","trend","8"
"121","puxf","I(1)","trend","13","puxf","I(0)","trend","12"
"122","puxhs","I(1)","trend","12","puxhs","I(0)","trend","12"
"123","puxm","I(1)","trend","13","puxm","I(1)","trend","12"
"124","gmdc","I(1)","trend","14","gmdc","I(1)","trend","13"
"125","gmdcd","I(1)","trend","15","gmdcd","I(1)","trend","14"
"126","gmdcn","I(1)","trend","13","gmdcn","I(0)","trend","12"
"127","gmdcs","I(1)","trend","10","gmdcs","I(1)","trend","8"
"128","ces275","I(1)","trend","8","ces275","I(0)","trend","7"
"129","ces277","I(1)","trend","11","ces277","I(0)","trend","10"
"130","ces278","I(1)","trend","10","ces278","I(0)","trend","9"
"131","hhsntn","I(0)","drift","1","hhsntn","I(0)","drift","1"
