"","Series","Conclusion","Type","Lags","Series","Conclusion","Type","Lags"
"96","sfygm6","I(0)","drift","4","sfygm6","I(0)","drift","3"
"97","sfygt1","I(0)","drift","4","sfygt1","I(0)","drift","3"
"98","sfygt5","I(0)","trend","4","sfygt5","I(0)","drift","3"
"99","sfygt10","I(0)","trend","2","sfygt10","I(0)","drift","3"
"100","sfyaaac","I(0)","trend","1","sfyaaac","I(0)","drift","1"
"101","sfybaac","I(0)","trend","1","sfybaac","I(0)","drift","1"
"102","exrus","I(1)","trend","1","exrus","I(0)","drift","1"
"103","exrsw","I(1)","trend","1","exrsw","I(0)","drift","1"
"104","exrjan","I(1)","trend","1","exrjan","I(0)","drift","1"
"105","exruk","I(1)","trend","3","exruk","I(0)","drift","1"
"106","exrcan","I(1)","trend","1","exrcan","I(0)","drift","1"
"107","pwfsa","I(1)","trend","3","pwfsa","I(0)","trend","2"
"108","pwfcsa","I(1)","trend","3","pwfcsa","I(0)","trend","2"
"109","pwimsa","I(1)","trend","3","pwimsa","I(0)","trend","2"
"110","pwcmsa","I(1)","trend","1","pwcmsa","I(0)","drift","1"
"111","psccom","I(1)","trend","1","psccom","I(0)","drift","1"
"112","pw102","I(1)","trend","1","pw102","I(0)","trend","1"
"113","pmcp","I(0)","trend","2","pmcp","I(0)","drift","1"
"114","punew","I(1)","trend","9","punew","I(1)","trend","8"
"115","pu83","I(1)","trend","1","pu83","I(0)","trend","5"
"116","pu84","I(1)","trend","3","pu84","I(0)","trend","2"
"117","pu85","I(1)","trend","5","pu85","I(0)","trend","4"
"118","puc","I(1)","trend","1","puc","I(0)","trend","5"
"119","pucd","I(1)","trend","1","pucd","I(0)","trend","1"
"120","pus","I(1)","trend","2","pus","I(0)","trend","1"
"121","puxf","I(1)","trend","3","puxf","I(0)","trend","2"
"122","puxhs","I(1)","trend","7","puxhs","I(0)","trend","6"
"123","puxm","I(1)","trend","3","puxm","I(0)","trend","2"
"124","gmdc","I(1)","trend","6","gmdc","I(0)","trend","5"
"125","gmdcd","I(1)","trend","5","gmdcd","I(0)","trend","4"
"126","gmdcn","I(1)","trend","1","gmdcn","I(0)","trend","2"
"127","gmdcs","I(1)","trend","7","gmdcs","I(1)","trend","6"
"128","ces275","I(1)","trend","6","ces275","I(0)","trend","5"
"129","ces277","I(1)","trend","1","ces277","I(0)","trend","3"
"130","ces278","I(1)","trend","5","ces278","I(0)","trend","4"
"131","hhsntn","I(0)","drift","1","hhsntn","I(0)","drift","1"
