"","variable","value.x","value.y","value"
"1","out-of sample MSE","2.075184","2.064481","2.076007"
"2","D.U: Dur<5wks.lag1","-0.017993","-0.020127","-0.024878"
"3","D.Orders (DurMfg).lag1","0.011972",NA,NA
"4","D.Orders(ConsumerGoods/Mat.).lag1","0.080591","0.087948","0.088467"
"5","D.CPH:NFB.lag1","0.008585","0.008017","0.005582"
"6","D.TB-3Mth.lag1","0.018652","0.021803","0.033659"
"7","D2.PCED_RecServices.lag1","-0.069163","-0.069294",NA
"8","D.Inflation.lag3","0.02238","0.027075","0.030551"
"9","D.Orders (DurMfg).lag4","0.013161",NA,NA
"10","D.PCED_Gas_Enrgy.lag1","-0.090698","-0.09322","-0.100904"
"11","D2.PPI:FinConsGds(Food).lag4",NA,"0.000309",NA
"12","D.Inflation.lag1",NA,NA,"-0.018392"
