"","variable","value.x","value.y","value"
"1","out-of sample MSE","0.760728","0.726","0.70586"
"2","Ch. Inv/GDP.lag1","-0.074997","-0.084751","-0.089063"
"3","NAPM:ORD.lag1","0.255303","0.255951","0.251763"
"4","D.CPI.lag1","-0.029414",NA,NA
"5","Cons. Expectations.lag1","0.047549","0.06865","0.092625"
"6","D.PCED_OtherServices.lag3","-0.039464","-0.044681",NA
"7","FedFunds.lag2",NA,NA,"-0.019547"
