"","variable","value.x","value.y","value"
"1","out-of sample MSE","0.497133","0.497133","0.499298"
"2","NAPM:ORD.lag1","0.080649","0.080649","0.080476"
"3","D.Cons:Svc.lag1","0.202084","0.202084","0.198708"
"4","D.FixedInv:Res.lag1","0.202236","0.202236","0.203441"
"5","D.Emp:SlackWk.lag1","-0.005473","-0.005473","-0.002498"
"6","D.Real_m2.lag1","0.012707","0.012707","0.010491"
"7","D.S&P 500.lag1","0.03356","0.03356","0.033699"
"8","D.ULC:Bus.lag2","-0.015343","-0.015343","-0.006743"
"9","D.Real_m2.lag2","0.0123","0.0123","0.011358"
"10","D.PCED_OtherServices.lag3",NA,NA,"-0.020513"
